ticker,enabled,group,max_price,note
DOC,True,SP500,10000,
HSIC,True,SP500,10000,
HSY,True,SP500,10000,
HPE,True,SP500,10000,
HLT,True,SP500,10000,
HOLX,True,SP500,10000,
HD,True,SP500,10000,
HON,True,SP500,10000,
HRL,True,SP500,10000,
HST,True,SP500,10000,
HWM,True,SP500,10000,
HPQ,True,SP500,10000,
HUBB,True,SP500,10000,
HUM,True,SP500,10000,
HBAN,True,SP500,10000,
HII,True,SP500,10000,
IBM,True,SP500,10000,
IEX,True,SP500,10000,
IDXX,True,SP500,10000,
ITW,True,SP500,10000,
INCY,True,SP500,10000,
IR,True,SP500,10000,
PODD,True,SP500,10000,
INTC,True,SP500,10000,
ICE,True,SP500,10000,
IFF,True,SP500,10000,
IP,True,SP500,10000,
IPG,True,SP500,10000,
INTU,True,SP500,10000,
ISRG,True,SP500,10000,
IVZ,True,SP500,10000,
INVH,True,SP500,10000,
IQV,True,SP500,10000,
IRM,True,SP500,10000,
JBHT,True,SP500,10000,
JBL,True,SP500,10000,
JKHY,True,SP500,10000,
J,True,SP500,10000,
JNJ,True,SP500,10000,
JCI,True,SP500,10000,
JPM,True,SP500,10000,
K,True,SP500,10000,
KVUE,True,SP500,10000,
KDP,True,SP500,10000,
KEY,True,SP500,10000,
KEYS,True,SP500,10000,
KMB,True,SP500,10000,
KIM,True,SP500,10000,
KMI,True,SP500,10000,
KKR,True,SP500,10000,
KLAC,True,SP500,10000,
KHC,True,SP500,10000,
KR,True,SP500,10000,
LHX,True,SP500,10000,
LH,True,SP500,10000,
LRCX,True,SP500,10000,
LW,True,SP500,10000,
LVS,True,SP500,10000,
LDOS,True,SP500,10000,
LEN,True,SP500,10000,
LII,True,SP500,10000,
LLY,True,SP500,10000,
LIN,True,SP500,10000,
LYV,True,SP500,10000,
LKQ,True,SP500,10000,
LMT,True,SP500,10000,
L,True,SP500,10000,
LOW,True,SP500,10000,
LULU,True,SP500,10000,
LYB,True,SP500,10000,
MTB,True,SP500,10000,
MPC,True,SP500,10000,
MKTX,True,SP500,10000,
MAR,True,SP500,10000,
MMC,True,SP500,10000,
MLM,True,SP500,10000,
MAS,True,SP500,10000,
MA,True,SP500,10000,
MTCH,True,SP500,10000,
MKC,True,SP500,10000,
MCD,True,SP500,10000,
MCK,True,SP500,10000,
MDT,True,SP500,10000,
MRK,True,SP500,10000,
META,True,SP500,10000,
MET,True,SP500,10000,
MTD,True,SP500,10000,
MGM,True,SP500,10000,
MCHP,True,SP500,10000,
MU,True,SP500,10000,
MSFT,True,SP500,10000,
MAA,True,SP500,10000,
MRNA,True,SP500,10000,
MHK,True,SP500,10000,
MOH,True,SP500,10000,
TAP,True,SP500,10000,
MDLZ,True,SP500,10000,
MPWR,True,SP500,10000,
MNST,True,SP500,10000,
MCO,True,SP500,10000,
MS,True,SP500,10000,
MOS,True,SP500,10000,
MSI,True,SP500,10000,
MSCI,True,SP500,10000,
NDAQ,True,SP500,10000,
NTAP,True,SP500,10000,
NFLX,True,SP500,10000,
NEM,True,SP500,10000,
NWSA,True,SP500,10000,
NWS,True,SP500,10000,
NEE,True,SP500,10000,
NKE,True,SP500,10000,
NI,True,SP500,10000,
NDSN,True,SP500,10000,
NSC,True,SP500,10000,
NTRS,True,SP500,10000,
NOC,True,SP500,10000,
NCLH,True,SP500,10000,
