code,ticker,enabled,group,max_price,note
4403,4403.T,True,TOPIX Mid400,200000,
4452,4452.T,True,TOPIX Large70,200000,
4502,4502.T,True,TOPIX Core30,200000,
4503,4503.T,True,TOPIX Large70,200000,
4506,4506.T,True,TOPIX Mid400,200000,
4507,4507.T,True,TOPIX Large70,200000,
4516,4516.T,True,TOPIX Mid400,200000,
4519,4519.T,True,TOPIX Large70,200000,
4523,4523.T,True,TOPIX Mid400,200000,
4527,4527.T,True,TOPIX Mid400,200000,
4528,4528.T,True,TOPIX Mid400,200000,
4530,4530.T,True,TOPIX Mid400,200000,
4536,4536.T,True,TOPIX Mid400,200000,
4540,4540.T,True,TOPIX Mid400,200000,
4543,4543.T,True,TOPIX Large70,200000,
4544,4544.T,True,TOPIX Mid400,200000,
4568,4568.T,True,TOPIX Core30,200000,
4578,4578.T,True,TOPIX Large70,200000,
4587,4587.T,True,TOPIX Mid400,200000,
4612,4612.T,True,TOPIX Mid400,200000,
4613,4613.T,True,TOPIX Mid400,200000,
4626,4626.T,True,TOPIX Mid400,200000,
4631,4631.T,True,TOPIX Mid400,200000,
4661,4661.T,True,TOPIX Large70,200000,
4665,4665.T,True,TOPIX Mid400,200000,
4666,4666.T,True,TOPIX Mid400,200000,
4676,4676.T,True,TOPIX Mid400,200000,
4680,4680.T,True,TOPIX Mid400,200000,
4681,4681.T,True,TOPIX Mid400,200000,
4684,4684.T,True,TOPIX Mid400,200000,
4689,4689.T,True,TOPIX Large70,200000,
4704,4704.T,True,TOPIX Mid400,200000,
4716,4716.T,True,TOPIX Mid400,200000,
4732,4732.T,True,TOPIX Mid400,200000,
4733,4733.T,True,TOPIX Mid400,200000,
4751,4751.T,True,TOPIX Mid400,200000,
4755,4755.T,True,TOPIX Mid400,200000,
4768,4768.T,True,TOPIX Mid400,200000,
4887,4887.T,True,TOPIX Mid400,200000,
4901,4901.T,True,TOPIX Large70,200000,
4902,4902.T,True,TOPIX Mid400,200000,
4911,4911.T,True,TOPIX Mid400,200000,
4912,4912.T,True,TOPIX Mid400,200000,
4922,4922.T,True,TOPIX Mid400,200000,
4927,4927.T,True,TOPIX Mid400,200000,
4967,4967.T,True,TOPIX Mid400,200000,
4980,4980.T,True,TOPIX Mid400,200000,
5016,5016.T,True,TOPIX Mid400,200000,
5019,5019.T,True,TOPIX Mid400,200000,
5020,5020.T,True,TOPIX Large70,200000,
5021,5021.T,True,TOPIX Mid400,200000,
5076,5076.T,True,TOPIX Mid400,200000,
5101,5101.T,True,TOPIX Mid400,200000,
5105,5105.T,True,TOPIX Mid400,200000,
5108,5108.T,True,TOPIX Large70,200000,
5110,5110.T,True,TOPIX Mid400,200000,
5201,5201.T,True,TOPIX Mid400,200000,
5214,5214.T,True,TOPIX Mid400,200000,
5232,5232.T,True,TOPIX Mid400,200000,
5233,5233.T,True,TOPIX Mid400,200000,
5301,5301.T,True,TOPIX Mid400,200000,
5332,5332.T,True,TOPIX Mid400,200000,
5333,5333.T,True,TOPIX Mid400,200000,
5334,5334.T,True,TOPIX Mid400,200000,
5344,5344.T,True,TOPIX Mid400,200000,
5393,5393.T,True,TOPIX Mid400,200000,
5401,5401.T,True,TOPIX Large70,200000,
5406,5406.T,True,TOPIX Mid400,200000,
5411,5411.T,True,TOPIX Mid400,200000,
5444,5444.T,True,TOPIX Mid400,200000,
5463,5463.T,True,TOPIX Mid400,200000,
5471,5471.T,True,TOPIX Mid400,200000,
5631,5631.T,True,TOPIX Mid400,200000,
5706,5706.T,True,TOPIX Mid400,200000,
5711,5711.T,True,TOPIX Mid400,200000,
5713,5713.T,True,TOPIX Mid400,200000,
5714,5714.T,True,TOPIX Mid400,200000,
5801,5801.T,True,TOPIX Mid400,200000,
5802,5802.T,True,TOPIX Large70,200000,
5803,5803.T,True,TOPIX Large70,200000,
5830,5830.T,True,TOPIX Mid400,200000,
5831,5831.T,True,TOPIX Mid400,200000,
5832,5832.T,True,TOPIX Mid400,200000,
5838,5838.T,True,TOPIX Mid400,200000,
5844,5844.T,True,TOPIX Mid400,200000,
5901,5901.T,True,TOPIX Mid400,200000,
5929,5929.T,True,TOPIX Mid400,200000,
5938,5938.T,True,TOPIX Mid400,200000,
5947,5947.T,True,TOPIX Mid400,200000,
5991,5991.T,True,TOPIX Mid400,200000,
6005,6005.T,True,TOPIX Mid400,200000,
6098,6098.T,True,TOPIX Core30,200000,
6113,6113.T,True,TOPIX Mid400,200000,
6134,6134.T,True,TOPIX Mid400,200000,
6136,6136.T,True,TOPIX Mid400,200000,
6141,6141.T,True,TOPIX Mid400,200000,
6146,6146.T,True,TOPIX Large70,200000,
6178,6178.T,True,TOPIX Large70,200000,
6201,6201.T,True,TOPIX Large70,200000,
6268,6268.T,True,TOPIX Mid400,200000,
6269,6269.T,True,TOPIX Mid400,200000,
6273,6273.T,True,TOPIX Large70,200000,
6301,6301.T,True,TOPIX Large70,200000,
6302,6302.T,True,TOPIX Mid400,200000,
6305,6305.T,True,TOPIX Mid400,200000,
6323,6323.T,True,TOPIX Mid400,200000,
6326,6326.T,True,TOPIX Large70,200000,
6361,6361.T,True,TOPIX Mid400,200000,
6367,6367.T,True,TOPIX Core30,200000,
6368,6368.T,True,TOPIX Mid400,200000,
6370,6370.T,True,TOPIX Mid400,200000,
6383,6383.T,True,TOPIX Mid400,200000,
6406,6406.T,True,TOPIX Mid400,200000,
6417,6417.T,True,TOPIX Mid400,200000,
6436,6436.T,True,TOPIX Mid400,200000,
6448,6448.T,True,TOPIX Mid400,200000,
6457,6457.T,True,TOPIX Mid400,200000,
6460,6460.T,True,TOPIX Mid400,200000,
6465,6465.T,True,TOPIX Mid400,200000,
6471,6471.T,True,TOPIX Mid400,200000,
6472,6472.T,True,TOPIX Mid400,200000,
6473,6473.T,True,TOPIX Mid400,200000,
6479,6479.T,True,TOPIX Mid400,200000,
6481,6481.T,True,TOPIX Mid400,200000,
6501,6501.T,True,TOPIX Core30,200000,
6503,6503.T,True,TOPIX Core30,200000,
6504,6504.T,True,TOPIX Mid400,200000,
6506,6506.T,True,TOPIX Mid400,200000,
6525,6525.T,True,TOPIX Mid400,200000,
6526,6526.T,True,TOPIX Mid400,200000,
6532,6532.T,True,TOPIX Mid400,200000,
6544,6544.T,True,TOPIX Mid400,200000,
6586,6586.T,True,TOPIX Mid400,200000,
6592,6592.T,True,TOPIX Mid400,200000,
6632,6632.T,True,TOPIX Mid400,200000,
6645,6645.T,True,TOPIX Mid400,200000,
6674,6674.T,True,TOPIX Mid400,200000,
6701,6701.T,True,TOPIX Large70,200000,
6702,6702.T,True,TOPIX Large70,200000,
6707,6707.T,True,TOPIX Mid400,200000,
6723,6723.T,True,TOPIX Large70,200000,
6724,6724.T,True,TOPIX Mid400,200000,
6728,6728.T,True,TOPIX Mid400,200000,
6752,6752.T,True,TOPIX Large70,200000,
6753,6753.T,True,TOPIX Mid400,200000,
6754,6754.T,True,TOPIX Mid400,200000,
6758,6758.T,True,TOPIX Core30,200000,
6762,6762.T,True,TOPIX Large70,200000,
6770,6770.T,True,TOPIX Mid400,200000,
6806,6806.T,True,TOPIX Mid400,200000,
6841,6841.T,True,TOPIX Mid400,200000,
6845,6845.T,True,TOPIX Mid400,200000,
6849,6849.T,True,TOPIX Mid400,200000,
6856,6856.T,True,TOPIX Mid400,200000,
6857,6857.T,True,TOPIX Core30,200000,
6861,6861.T,True,TOPIX Core30,200000,
6869,6869.T,True,TOPIX Mid400,200000,
6902,6902.T,True,TOPIX Large70,200000,
6920,6920.T,True,TOPIX Large70,200000,
6923,6923.T,True,TOPIX Mid400,200000,
6925,6925.T,True,TOPIX Mid400,200000,
6951,6951.T,True,TOPIX Mid400,200000,
6952,6952.T,True,TOPIX Mid400,200000,
6954,6954.T,True,TOPIX Large70,200000,
6963,6963.T,True,TOPIX Mid400,200000,
6965,6965.T,True,TOPIX Mid400,200000,
6971,6971.T,True,TOPIX Large70,200000,
6976,6976.T,True,TOPIX Mid400,200000,
6981,6981.T,True,TOPIX Large70,200000,
6988,6988.T,True,TOPIX Mid400,200000,
7003,7003.T,True,TOPIX Mid400,200000,
7011,7011.T,True,TOPIX Core30,200000,
7012,7012.T,True,TOPIX Mid400,200000,
7013,7013.T,True,TOPIX Mid400,200000,
7164,7164.T,True,TOPIX Mid400,200000,
7167,7167.T,True,TOPIX Mid400,200000,
7180,7180.T,True,TOPIX Mid400,200000,
7181,7181.T,True,TOPIX Mid400,200000,
7182,7182.T,True,TOPIX Large70,200000,
7186,7186.T,True,TOPIX Mid400,200000,
7189,7189.T,True,TOPIX Mid400,200000,
7201,7201.T,True,TOPIX Mid400,200000,
7202,7202.T,True,TOPIX Mid400,200000,
7203,7203.T,True,TOPIX Core30,200000,
7211,7211.T,True,TOPIX Mid400,200000,
7240,7240.T,True,TOPIX Mid400,200000,
7259,7259.T,True,TOPIX Mid400,200000,
7261,7261.T,True,TOPIX Mid400,200000,
7267,7267.T,True,TOPIX Core30,200000,
7269,7269.T,True,TOPIX Large70,200000,
7270,7270.T,True,TOPIX Large70,200000,
7272,7272.T,True,TOPIX Mid400,200000,
7276,7276.T,True,TOPIX Mid400,200000,
7282,7282.T,True,TOPIX Mid400,200000,
7309,7309.T,True,TOPIX Large70,200000,
7313,7313.T,True,TOPIX Mid400,200000,
7337,7337.T,True,TOPIX Mid400,200000,
7453,7453.T,True,TOPIX Mid400,200000,
7458,7458.T,True,TOPIX Mid400,200000,
7459,7459.T,True,TOPIX Mid400,200000,
7476,7476.T,True,TOPIX Mid400,200000,
7532,7532.T,True,TOPIX Mid400,200000,
7550,7550.T,True,TOPIX Mid400,200000,
7616,7616.T,True,TOPIX Mid400,200000,
7649,7649.T,True,TOPIX Mid400,200000,
7701,7701.T,True,TOPIX Mid400,200000,
7729,7729.T,True,TOPIX Mid400,200000,
7731,7731.T,True,TOPIX Mid400,200000,
7733,7733.T,True,TOPIX Large70,200000,
7735,7735.T,True,TOPIX Mid400,200000,
7741,7741.T,True,TOPIX Core30,200000,
7747,7747.T,True,TOPIX Mid400,200000,
7751,7751.T,True,TOPIX Large70,200000,
7752,7752.T,True,TOPIX Mid400,200000,
7832,7832.T,True,TOPIX Large70,200000,
7846,7846.T,True,TOPIX Mid400,200000,
7867,7867.T,True,TOPIX Mid400,200000,
7911,7911.T,True,TOPIX Mid400,200000,
7912,7912.T,True,TOPIX Mid400,200000,
7936,7936.T,True,TOPIX Large70,200000,
7951,7951.T,True,TOPIX Mid400,200000,
7956,7956.T,True,TOPIX Mid400,200000,
7974,7974.T,True,TOPIX Core30,200000,
7984,7984.T,True,TOPIX Mid400,200000,
7988,7988.T,True,TOPIX Mid400,200000,
8001,8001.T,True,TOPIX Core30,200000,
8002,8002.T,True,TOPIX Large70,200000,
8012,8012.T,True,TOPIX Mid400,200000,
8015,8015.T,True,TOPIX Large70,200000,
8020,8020.T,True,TOPIX Mid400,200000,
8031,8031.T,True,TOPIX Core30,200000,
8035,8035.T,True,TOPIX Core30,200000,
8053,8053.T,True,TOPIX Large70,200000,
8056,8056.T,True,TOPIX Mid400,200000,
8058,8058.T,True,TOPIX Core30,200000,
8060,8060.T,True,TOPIX Mid400,200000,
8086,8086.T,True,TOPIX Mid400,200000,
8088,8088.T,True,TOPIX Mid400,200000,
8111,8111.T,True,TOPIX Mid400,200000,
8113,8113.T,True,TOPIX Large70,200000,
8129,8129.T,True,TOPIX Mid400,200000,
8136,8136.T,True,TOPIX Mid400,200000,
8174,8174.T,True,TOPIX Mid400,200000,
8227,8227.T,True,TOPIX Mid400,200000,
8233,8233.T,True,TOPIX Mid400,200000,
8242,8242.T,True,TOPIX Mid400,200000,
8252,8252.T,True,TOPIX Mid400,200000,
8253,8253.T,True,TOPIX Mid400,200000,
8267,8267.T,True,TOPIX Large70,200000,
8282,8282.T,True,TOPIX Mid400,200000,
8283,8283.T,True,TOPIX Mid400,200000,
8304,8304.T,True,TOPIX Mid400,200000,
8306,8306.T,True,TOPIX Core30,200000,
8308,8308.T,True,TOPIX Large70,200000,
8309,8309.T,True,TOPIX Large70,200000,
8316,8316.T,True,TOPIX Core30,200000,
8331,8331.T,True,TOPIX Mid400,200000,
8334,8334.T,True,TOPIX Mid400,200000,
8341,8341.T,True,TOPIX Mid400,200000,
8354,8354.T,True,TOPIX Mid400,200000,
8359,8359.T,True,TOPIX Mid400,200000,
8377,8377.T,True,TOPIX Mid400,200000,
8410,8410.T,True,TOPIX Mid400,200000,
8411,8411.T,True,TOPIX Core30,200000,
8418,8418.T,True,TOPIX Mid400,200000,
8424,8424.T,True,TOPIX Mid400,200000,
8439,8439.T,True,TOPIX Mid400,200000,
8473,8473.T,True,TOPIX Mid400,200000,
8570,8570.T,True,TOPIX Mid400,200000,
8572,8572.T,True,TOPIX Mid400,200000,
8591,8591.T,True,TOPIX Large70,200000,
8593,8593.T,True,TOPIX Mid400,200000,
8595,8595.T,True,TOPIX Mid400,200000,
8601,8601.T,True,TOPIX Mid400,200000,
8604,8604.T,True,TOPIX Large70,200000,
8630,8630.T,True,TOPIX Large70,200000,
8697,8697.T,True,TOPIX Large70,200000,
8725,8725.T,True,TOPIX Large70,200000,
8729,8729.T,True,TOPIX Core30,200000,
8750,8750.T,True,TOPIX Large70,200000,
8766,8766.T,True,TOPIX Core30,200000,
8795,8795.T,True,TOPIX Mid400,200000,
8801,8801.T,True,TOPIX Large70,200000,
8802,8802.T,True,TOPIX Large70,200000,
8804,8804.T,True,TOPIX Mid400,200000,
